_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786550>","78515381508/2023-08-02 15:18:47.694339","1","2023-08-02 15:18:47.694339","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7865e0>","78515381508/2023-08-02 15:19:34.591987","2","2023-08-02 15:19:34.591987","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786670>","78515381508/2023-08-02 15:19:42.407543","3","2023-08-02 15:19:42.407543","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786730>","59262675091/2023-08-02 15:20:12.271766","1","2023-08-02 15:20:12.271766","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7867f0>","59262675091/2023-08-02 15:20:22.034650","2","2023-08-02 15:20:22.034650","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7868b0>","78515381508/2023-08-02 15:20:27.113550","4","2023-08-02 15:20:27.113550","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786970>","59262675091/2023-08-02 15:21:04.801575","3","2023-08-02 15:21:04.801575","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786a30>","59262675091/2023-08-02 15:21:15.946536","4","2023-08-02 15:21:15.946536","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786af0>","78515381508/2023-08-02 15:21:18.280783","5","2023-08-02 15:21:18.280783","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786bb0>","59262675091/2023-08-02 15:22:30.508417","5","2023-08-02 15:22:30.508417","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786c70>","22/2023-08-02 15:26:47.359153","1","2023-08-02 15:26:47.359153","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786d30>","22/2023-08-02 15:48:56.692720","2","2023-08-02 15:48:56.692720","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786df0>","22/2023-08-02 15:49:07.668189","3","2023-08-02 15:49:07.668189","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786eb0>","22/2023-08-02 15:51:26.550536","4","2023-08-02 15:51:26.550536","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da786f70>","22/2023-08-02 15:53:30.188832","5","2023-08-02 15:53:30.188832","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b070>","22/2023-08-02 15:53:34.887375","6","2023-08-02 15:53:34.887375","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b130>","22/2023-08-02 15:53:51.884797","7","2023-08-02 15:53:51.884797","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b1f0>","22/2023-08-02 15:54:55.894690","8","2023-08-02 15:54:55.894690","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b2b0>","22/2023-08-02 15:55:02.003343","9","2023-08-02 15:55:02.003343","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b370>","22/2023-08-02 15:55:05.328728","10","2023-08-02 15:55:05.328728","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b430>","22/2023-08-02 16:01:10.827568","11","2023-08-02 16:01:10.827568","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b4f0>","22/2023-08-02 16:01:25.553028","12","2023-08-02 16:01:25.553028","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b5b0>","22/2023-08-02 16:01:30.469111","13","2023-08-02 16:01:30.469111","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b670>","22/2023-08-02 16:04:06.856524","14","2023-08-02 16:04:06.856524","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b730>","22/2023-08-02 16:04:33.917071","15","2023-08-02 16:04:33.917071","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b7f0>","22/2023-08-02 16:04:36.596504","16","2023-08-02 16:04:36.596504","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b8b0>","22/2023-08-02 16:05:16.976944","17","2023-08-02 16:05:16.976944","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78b970>","22/2023-08-02 16:07:54.973498","18","2023-08-02 16:07:54.973498","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78ba30>","22/2023-08-02 16:07:58.590100","19","2023-08-02 16:07:58.590100","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78baf0>","22/2023-08-02 16:08:01.741902","20","2023-08-02 16:08:01.741902","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78bbb0>","22/2023-08-02 16:10:48.436080","21","2023-08-02 16:10:48.436080","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78bc70>","22/2023-08-02 16:14:30.904942","22","2023-08-02 16:14:30.904942","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78bd30>","22/2023-08-02 16:14:41.460052","23","2023-08-02 16:14:41.460052","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78bdf0>","22/2023-08-02 16:14:59.496303","24","2023-08-02 16:14:59.496303","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78beb0>","22/2023-08-02 16:16:49.950872","25","2023-08-02 16:16:49.950872","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da78bf70>","22/2023-08-02 16:17:48.135297","26","2023-08-02 16:17:48.135297","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790070>","22/2023-08-02 16:18:00.885743","27","2023-08-02 16:18:00.885743","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da790130>","22/2023-08-02 16:18:20.504291","28","2023-08-02 16:18:20.504291","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7901f0>","22/2023-08-02 16:19:40.186913","29","2023-08-02 16:19:40.186913","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7902b0>","22/2023-08-02 16:22:19.816034","30","2023-08-02 16:22:19.816034","22",
