_sa_instance_state, article_id, position, primary, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4610>","10d","0","9/10d/0","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4700>","1a","1","9/1a/1","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c47c0>","4c","2","9/4c/2","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c48b0>","11c","3","9/11c/3","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4970>","12c","4","9/12c/4","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4a60>","5c","5","9/5c/5","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4b20>","3b","6","9/3b/6","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4c10>","2a","7","9/2a/7","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4cd0>","12d","0","10/12d/0","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4dc0>","2c","1","10/2c/1","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4e80>","1c","2","10/1c/2","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059c4f70>","4d","3","10/4d/3","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbcd0>","3d","4","10/3d/4","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbd00>","11d","5","10/11d/5","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbdf0>","5d","6","10/5d/6","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbee0>","10d","7","10/10d/7","10",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbfa0>","3b","0","14/3b/0","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb0a0>","2a","1","14/2a/1","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb130>","5c","2","14/5c/2","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb1c0>","10d","3","14/10d/3","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb250>","12c","4","14/12c/4","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb2e0>","1a","5","14/1a/5","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb370>","4c","6","14/4c/6","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb400>","11c","7","14/11c/7","14",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb490>","4c","0","22/4c/0","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb520>","11c","1","22/11c/1","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb5b0>","3c","2","22/3c/2","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb640>","12c","3","22/12c/3","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb6d0>","10d","4","22/10d/4","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb760>","2c","5","22/2c/5","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb7f0>","5d","6","22/5d/6","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb880>","1c","7","22/1c/7","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb910>","4c","0","15/4c/0","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bb9a0>","2c","1","15/2c/1","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bba30>","3c","2","15/3c/2","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbac0>","10d","3","15/10d/3","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbb50>","1c","4","15/1c/4","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb1059bbbe0>","12c","5","15/12c/5","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a0a040>","5d","6","15/5d/6","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a0a100>","11c","7","15/11c/7","15",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a0a3a0>","3a","0","24/3a/0","24",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a0a430>","1a","1","24/1a/1","24",
"<sqlalchemy.orm.state.InstanceState object at 0x7fb105a0a400>","4a","2","24/4a/2","24",
