_sa_instance_state, article_id, condition, exposure_id, popstate, position, previous_scroll_rate, primary, timestamp_selections, title, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c100>","4b","condition6","78515381508/2023-08-02 15:18:47.694339","no","4","0.67","78515381508/4b/4/2023-08-02 15:18:50.927001","2023-08-02 15:18:50.927001","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c130>","10d","condition6","78515381508/2023-08-02 15:18:47.694339","yes","7","0","78515381508/10d/7/2023-08-02 15:18:51.523236","2023-08-02 15:18:51.523236","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c190>","10d","condition6","78515381508/2023-08-02 15:19:34.591987","no","7","1","78515381508/10d/7/2023-08-02 15:19:39.565727","2023-08-02 15:19:39.565727","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c1f0>","10d","condition6","78515381508/2023-08-02 15:19:34.591987","yes","7","0","78515381508/10d/7/2023-08-02 15:19:39.710431","2023-08-02 15:19:39.710431","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c250>","10d","condition6","78515381508/2023-08-02 15:19:42.407543","yes","7","0","78515381508/10d/7/2023-08-02 15:19:43.760517","2023-08-02 15:19:43.760517","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c2b0>","11a","condition3","59262675091/2023-08-02 15:20:12.271766","no","3","0.29","59262675091/11a/3/2023-08-02 15:20:15.907359","2023-08-02 15:20:15.907359","Afschuw over postercampagne tegen nieuwe Transgenderwet: 'Misleidend, onnodig en gevaarlijk', zegt transgenderactivist Rico van der Laan","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c310>","10d","condition3","59262675091/2023-08-02 15:20:12.271766","yes","0","0","59262675091/10d/0/2023-08-02 15:20:16.561263","2023-08-02 15:20:16.561263","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c370>","4b","condition6","78515381508/2023-08-02 15:20:27.113550","no","4","1","78515381508/4b/4/2023-08-02 15:20:43.518781","2023-08-02 15:20:43.518781","Wat houdt de nieuwe transgenderwet in? Wij vroegen transpersonen en -activisten ","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c3d0>","10d","condition6","78515381508/2023-08-02 15:20:27.113550","yes","7","0","78515381508/10d/7/2023-08-02 15:20:44.173229","2023-08-02 15:20:44.173229","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","78515381508",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c430>","3a","condition3","59262675091/2023-08-02 15:20:22.034650","no","5","0.63","59262675091/3a/5/2023-08-02 15:21:01.998079","2023-08-02 15:21:01.998079","Argumenten critici Transgenderwet “slaan helemaal nergens op”: Transman over waarom de nieuwe wet voor transgender personen zo belangrijk is","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c490>","10d","condition3","59262675091/2023-08-02 15:20:22.034650","yes","0","0","59262675091/10d/0/2023-08-02 15:21:03.335972","2023-08-02 15:21:03.335972","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c4f0>","10d","condition3","59262675091/2023-08-02 15:21:04.801575","yes","0","0","59262675091/10d/0/2023-08-02 15:21:11.158506","2023-08-02 15:21:11.158506","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c550>","4a","condition3","59262675091/2023-08-02 15:21:15.946536","no","4","0.63","59262675091/4a/4/2023-08-02 15:22:10.638263","2023-08-02 15:22:10.638263","“Een drastische verbetering”: Nieuwe Transgenderwet zorgt voor zucht van verlichting voor transpersonen","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c5b0>","10d","condition3","59262675091/2023-08-02 15:21:15.946536","yes","0","0","59262675091/10d/0/2023-08-02 15:22:11.082197","2023-08-02 15:22:11.082197","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","59262675091",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c610>","5c","condition2","22/2023-08-02 15:48:56.692720","no","1","0","22/5c/1/2023-08-02 15:48:58.759982","2023-08-02 15:48:58.759982","Lang over tijd: Kabinet maakt eindelijk publiekelijk excuses voor vernederende oude Transgenderwet","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c670>","10d","condition2","22/2023-08-02 15:48:56.692720","yes","7","0","22/10d/7/2023-08-02 15:48:58.894150","2023-08-02 15:48:58.894150","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c6d0>","2a","condition2","22/2023-08-02 15:49:07.668189","no","3","0.57","22/2a/3/2023-08-02 15:49:09.272646","2023-08-02 15:49:09.272646","Kritiek op nieuwe Transgenderwet is “boosmakend en transfoob”: Transvrouw vertelt over het belang van de wet","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c730>","10d","condition2","22/2023-08-02 15:49:07.668189","yes","7","0","22/10d/7/2023-08-02 15:49:09.339283","2023-08-02 15:49:09.339283","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c790>","11c","condition2","22/2023-08-02 15:51:26.550536","no","2","0","22/11c/2/2023-08-02 15:51:28.286111","2023-08-02 15:51:28.286111","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c7f0>","10d","condition2","22/2023-08-02 15:51:26.550536","yes","7","0","22/10d/7/2023-08-02 15:51:28.349259","2023-08-02 15:51:28.349259","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c850>","4c","condition2","22/2023-08-02 15:53:30.188832","no","0","0","22/4c/0/2023-08-02 15:53:32.599075","2023-08-02 15:53:32.599075","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c8b0>","10d","condition2","22/2023-08-02 15:53:30.188832","yes","7","0","22/10d/7/2023-08-02 15:53:32.680560","2023-08-02 15:53:32.680560","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c910>","11c","condition2","22/2023-08-02 15:53:34.887375","no","2","0","22/11c/2/2023-08-02 15:53:50.356235","2023-08-02 15:53:50.356235","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c970>","10d","condition2","22/2023-08-02 15:53:34.887375","yes","7","0","22/10d/7/2023-08-02 15:53:50.432623","2023-08-02 15:53:50.432623","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2c9d0>","4c","condition2","22/2023-08-02 15:53:51.884797","no","0","0","22/4c/0/2023-08-02 15:54:54.071562","2023-08-02 15:54:54.071562","Eindelijk! Nieuwe Transgenderwet haalt vernederende barriers weg voor transgender personen.","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2ca30>","10d","condition2","22/2023-08-02 15:53:51.884797","yes","7","0","22/10d/7/2023-08-02 15:54:54.144832","2023-08-02 15:54:54.144832","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2ca90>","5c","condition2","22/2023-08-02 15:54:55.894690","no","1","0","22/5c/1/2023-08-02 15:54:58.302713","2023-08-02 15:54:58.302713","Lang over tijd: Kabinet maakt eindelijk publiekelijk excuses voor vernederende oude Transgenderwet","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2caf0>","10d","condition2","22/2023-08-02 15:54:55.894690","yes","7","0","22/10d/7/2023-08-02 15:54:58.389746","2023-08-02 15:54:58.389746","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2cb50>","11c","condition2","22/2023-08-02 15:55:02.003343","no","2","0","22/11c/2/2023-08-02 15:55:03.854615","2023-08-02 15:55:03.854615","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2cbb0>","10d","condition2","22/2023-08-02 15:55:02.003343","yes","7","0","22/10d/7/2023-08-02 15:55:03.940723","2023-08-02 15:55:03.940723","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2cc10>","5c","condition2","22/2023-08-02 15:55:05.328728","no","1","0.23","22/5c/1/2023-08-02 16:01:07.791198","2023-08-02 16:01:07.791198","Lang over tijd: Kabinet maakt eindelijk publiekelijk excuses voor vernederende oude Transgenderwet","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2cc70>","10d","condition2","22/2023-08-02 15:55:05.328728","yes","7","0","22/10d/7/2023-08-02 16:01:07.881892","2023-08-02 16:01:07.881892","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2ccd0>","11c","condition2","22/2023-08-02 16:01:10.827568","no","2","0.23","22/11c/2/2023-08-02 16:01:24.613986","2023-08-02 16:01:24.613986","Postercampagne tegen nieuwe Transgenderwet is misleidend, onnodig en gevaarlijk","22",
"<sqlalchemy.orm.state.InstanceState object at 0x7ff4f0f2cd30>","10d","condition2","22/2023-08-02 16:01:10.827568","yes","7","0","22/10d/7/2023-08-02 16:01:24.711971","2023-08-02 16:01:24.711971","CU-minister Adema tekende manifest tegen Transgenderwet, D66 vraagt om intrekking","22",
